# CrokTile from-scratch: f16_768x768x768_fs
# Baseline: gemm_sp_f16.co (WARP_M=64, WARP_N=256, TILE_K=64, WARP_K=32)
# Shape: M=768 N=768 K=768  Dtype: f16  Max iter: 150
# Note: --use-prepack crashes on this shape (OOB in TMA). Baseline compiled with --use-warpspec only.
iter	kernel	tflops	hw_eff_pct	decision	bottleneck_before	idea_summary	run_command
0	baseline.co	34.92	2.31	BASELINE	-	Baseline (WN256, no prepack)	bash /tmp/f16_768x768x768_fs_baseline_nopp.cute.result --execute
1	iter001_wn128.co	42.0946	2.78	KEEP	grid_too_small	WARP_N=128 to double grid from 36 to 72 CTAs	bash /tmp/f16_768x768x768_fs_iter001.cute.result --execute
2	iter002_wn64.co	41.5839	2.75	KEEP	occupancy_limited	WARP_N=64 to 4x grid from 36 to 144 CTAs (12x12)	bash /tmp/f16_768x768x768_fs_iter002.cute.result --execute
3	iter003_wn128.co	41.1806	2.72	DISCARD	occupancy_limited	WARP_N=128 (from 64), grid 12x6=72 CTAs	bash /tmp/f16_768x768x768_fs_iter003.cute.result --execute
4	iter004_stages2.co	41.5967	2.75	KEEP	occupancy_limited	SPMM_STAGES=2 double-buffering pipeline	bash /tmp/f16_768x768x768_fs_iter004.cute.result --execute
5	iter005_stages3.co	41.6225	2.75	KEEP	occupancy_limited	SPMM_STAGES=3 deeper pipeline (from 2)	bash /tmp/f16_768x768x768_fs_iter005.cute.result --execute
6	iter006_stages4.co	42.9866	2.84	KEEP	occupancy_limited	SPMM_STAGES=4 even deeper pipeline	bash /tmp/f16_768x768x768_fs_iter006.cute.result --execute
7	iter007_stages5.co	42.6404	2.82	DISCARD	occupancy_limited	SPMM_STAGES=5 deeper pipeline	bash /tmp/f16_768x768x768_fs_iter007.cute.result --execute
8	iter008_s4wn128.co	41.6947	2.76	DISCARD	occupancy_limited	SPMM_STAGES=4 + WARP_N=128 combo	bash /tmp/f16_768x768x768_fs_iter008.cute.result --execute
9	iter009_clean.co	42.9693	2.84	DISCARD	occupancy_limited	Remove unused SMEM arrays	bash /tmp/f16_768x768x768_fs_iter009.cute.result --execute
10	iter010_ws1p2c.co	45.8831	3.03	KEEP	occupancy_limited	Warp-spec 1p2c async TMA pipeline	bash /tmp/f16_768x768x768_fs_iter010.cute.result --execute
11	iter011_ws1p2c_s3.co	44.2764	2.93	DISCARD	occupancy_limited	Warp-spec 1p2c STAGES=3	bash /tmp/f16_768x768x768_fs_iter011.cute.result --execute
12	iter012_ws1p2c_s4.co	44.674	2.95	DISCARD	occupancy_limited	Warp-spec 1p2c STAGES=4	bash /tmp/f16_768x768x768_fs_iter012.cute.result --execute
13	iter012_ws1p2c_wn128.co	43.7336	2.89	DISCARD	occupancy_limited	Warp-spec 1p2c WARP_N=128	bash /tmp/f16_768x768x768_fs_iter013.cute.result --execute
14	iter010_ws1p2c_stmatrix.co	45.8018	3.03	DISCARD	occupancy_limited	Warp-spec 1p2c --stmatrix	bash /tmp/f16_768x768x768_fs_iter014.cute.result --execute
