# CrokTile adapt-from-best: f16_256x4096x256
# Reference: /home/albert/workspace/choreo/benchmark/performance/gemm_sp/gemm_sp_f16_aitune_2026-03-25_iter143/gemm_sp_f16_iter143_ref_adapted.cu
# Shape: M=256 N=4096 K=256  Dtype: f16  Max iter: 30
iter	kernel	tflops	hw_eff_pct	decision	bottleneck	idea_summary	run_command
0	seed.cu	42.0680	2.7804	BASELINE	occupancy_limited	shape-aware dynamic seed baseline on GPU1	CUDA_VISIBLE_DEVICES=1 CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_256x4096x256_baseline --skip-verify
1	iter001_lb256_1.cu	207.9940	13.7471	KEEP	ncu_error	add __launch_bounds__(256,1) to reduce register pressure assumptions	CUDA_VISIBLE_DEVICES=1 CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_256x4096x256_iter001 --skip-verify
2	iter002_rhs128.cu	207.2750	13.6996	DISCARD	ncu_error	promote both RHS tensor maps to L2_128B	CUDA_VISIBLE_DEVICES=1 CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_256x4096x256_iter002 --skip-verify
3	iter003_wait0.cu	203.5820	13.4555	DISCARD	ncu_error	tighten the two stage warpgroup waits from 1 to 0	CUDA_VISIBLE_DEVICES=1 CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_256x4096x256_iter003 --skip-verify
4	iter004_out128.cu	209.7050	13.8602	KEEP	ncu_error	promote the output tensor map to L2_128B	CUDA_VISIBLE_DEVICES=1 CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_256x4096x256_iter004 --skip-verify
5	iter005_all256.cu	210.0200	13.8810	KEEP	occupancy_limited	promote all tensor maps to L2_256B	CUDA_VISIBLE_DEVICES=1 CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_256x4096x256_iter005 --skip-verify
6	iter006_nsmeta100.cu	209.4480	13.8432	DISCARD	occupancy_limited	insert producer nanosleep(100) after metadata barrier arrival	CUDA_VISIBLE_DEVICES=1 CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_256x4096x256_iter006 --skip-verify
7	iter007_nsfull200.cu	207.1670	13.6925	DISCARD	occupancy_limited	insert producer nanosleep(200) after full-stage barrier arrival	CUDA_VISIBLE_DEVICES=1 CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_256x4096x256_iter007 --skip-verify
8	iter008_wn128.cu	208.7810	13.7991	DISCARD	occupancy_limited	switch SPMM_WARP_N from 256 to 128	CUDA_VISIBLE_DEVICES=1 CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_256x4096x256_iter008 --skip-verify
9	iter009_wn128_wait0.cu	209.6210	13.8547	DISCARD	occupancy_limited	combine WARP_N=128 with wait depth 0	CUDA_VISIBLE_DEVICES=1 CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_256x4096x256_iter009 --skip-verify
