# CrokTile adapt-from-best: f16_256x256x4096
# Reference: /home/albert/workspace/choreo/benchmark/performance/gemm_sp/gemm_sp_f16_aitune_2026-03-25_iter143/gemm_sp_f16_iter143_ref_adapted.cu
# Shape: M=256 N=256 K=4096  Dtype: f16  Max iter: 30
iter	kernel	tflops	hw_eff_pct	decision	bottleneck	idea_summary	run_command
0	seed.cu	14.0838	0.9309	BASELINE	occupancy_limited	shape-aware dynamic seed baseline on GPU1	CUDA_VISIBLE_DEVICES=1 CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_256x256x4096_baseline --skip-verify
1	iter001_l2lhs128.cu	14.1785	0.9371	KEEP	occupancy_limited	promote LHS tensor map to L2_128B	CUDA_VISIBLE_DEVICES=1 CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_256x256x4096_iter001 --skip-verify
2	iter002_l2lhsmeta256.cu	14.3719	0.9499	KEEP	occupancy_limited	promote LHS and metadata tensor maps to L2_256B	CUDA_VISIBLE_DEVICES=1 CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_256x256x4096_iter002 --skip-verify
3	iter003_lb384_1.cu	14.3669	0.9496	DISCARD	occupancy_limited	add __launch_bounds__(384,1) to constrain occupancy model	CUDA_VISIBLE_DEVICES=1 CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_256x256x4096_iter003 --skip-verify
4	iter004_l2rhs128.cu	14.4419	0.9545	KEEP	occupancy_limited	promote both RHS tensor maps to L2_128B	CUDA_VISIBLE_DEVICES=1 CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_256x256x4096_iter004 --skip-verify
5	iter005_wait0.cu	12.7479	0.8426	DISCARD	occupancy_limited	tighten warpgroup wait depth from 1 to 0	CUDA_VISIBLE_DEVICES=1 CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_256x256x4096_iter005 --skip-verify
6	iter006_nsfull100.cu	14.0864	0.9310	DISCARD	occupancy_limited	insert producer nanosleep(100) after full-stage barrier arrival	CUDA_VISIBLE_DEVICES=1 CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_256x256x4096_iter006 --skip-verify
7	iter007_port_meta8_dns.cu	13.8180	0.9133	DISCARD	occupancy_limited	port META_TILE_COLS=8 plus double producer nanosleep from 4096x4096 winner	CUDA_VISIBLE_DEVICES=1 CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_256x256x4096_iter007 --skip-verify
8	iter008_l2out256.cu	14.3526	0.9486	DISCARD	occupancy_limited	promote output tensor map to L2_256B	CUDA_VISIBLE_DEVICES=1 CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_256x256x4096_iter008 --skip-verify
9	iter009_nsmeta100.cu	14.2646	0.9428	DISCARD	occupancy_limited	insert producer nanosleep(100) after metadata barrier arrival	CUDA_VISIBLE_DEVICES=1 CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_256x256x4096_iter009 --skip-verify
